,features,importance
146,race_name_ウェルカムステークス ,0
137,race_name_わらび賞 ,0
138,race_name_アイビーステークス(L),0
139,race_name_アクアラインS ,0
140,race_name_アハルテケステークス ,0
141,race_name_アメジストステークス ,0
142,race_name_アルデバランS ,0
143,race_name_アレキサンドライトS ,0
144,race_name_アンドロメダS(L),0
145,race_name_インディアトロフィー ,0
147,race_name_エニフステークス(L),0
157,race_name_オータムリーフS ,0
148,race_name_エリカ賞 ,0
149,race_name_エールステークス ,0
150,race_name_オアシスステークス(L),0
151,race_name_オキザリス賞 ,0
152,race_name_オクトーバーS(L),0
153,race_name_オホーツクステークス ,0
154,race_name_オリエンタル賞 ,0
155,race_name_オリオンステークス ,0
156,race_name_オークランドRCT ,0
182,race_name_セントポーリア賞 ,0
184,race_name_ダリア賞 ,0
425,race_name_御影ステークス ,0
185,race_name_チバテレ杯 ,0
210,race_name_ブラジルカップ(L),0
211,race_name_ブラッドストーンS ,0
212,race_name_ブリリアントS(L),0
213,race_name_プラタナス賞 ,0
214,race_name_プリンシパルS(L),0
215,race_name_ベゴニア賞 ,0
216,race_name_ベストウィッシュC ,0
217,race_name_ベテルギウスS(L),0
218,race_name_ホンコンJCT ,0
219,race_name_ポプラ特別 ,0
220,race_name_ポラリスステークス ,0
221,race_name_ポルックスステークス ,0
222,race_name_ポートアイランドS(L),0
223,race_name_マカオJCトロフィー ,0
224,race_name_マリーンステークス ,0
225,race_name_マーガレットS(L),0
226,race_name_ミモザ賞 ,0
227,race_name_ムーンライトハンデ ,0
228,race_name_メイステークス ,0
229,race_name_メトロポリタンS(L),0
230,race_name_ヤマボウシ賞 ,0
209,race_name_フローラルウォーク賞 ,0
208,race_name_フルーツラインカップ ,0
207,race_name_フリージア賞 ,0
195,race_name_ニセコ特別 ,0
186,race_name_テレQ杯 ,0
187,race_name_テレビユー福島賞 ,0
188,race_name_テレビ山梨杯 ,0
189,race_name_テレビ静岡賞 ,0
190,race_name_テレ玉杯 ,0
191,race_name_ディセンバーS(L),0
192,race_name_デイジー賞 ,0
193,race_name_トリトンステークス ,0
194,race_name_ドンカスターカップ ,0
196,race_name_ネモフィラ賞 ,0
206,race_name_フリーウェイS ,0
197,race_name_ノベンバーステークス ,0
198,race_name_バレンタインS ,0
199,race_name_バーデンバーデンC ,0
200,race_name_パラダイスステークス(L),0
201,race_name_ヒヤシンスステークス(L),0
202,race_name_フィリピントロフィー ,0
203,race_name_フェアウェルS ,0
204,race_name_フェニックス賞 ,0
205,race_name_フォーチュンカップ ,0
136,race_name_りんくうステークス ,0
135,race_name_ゆりかもめ賞 ,0
134,race_name_やまびこステークス ,0
133,race_name_もちの木賞 ,0
59,騎手_秋山稔樹,0
60,騎手_竹之下智,0
61,騎手_荻野極,0
62,騎手_荻野琢真,0
64,騎手_落合玄太,0
65,騎手_藤井勘一,0
67,騎手_藤岡康太,0
68,騎手_藤田菜七,0
69,騎手_蛯名正義,0
70,騎手_西村淳也,0
71,騎手_酒井学,0
72,騎手_阿部龍,0
73,騎手_黛弘人,0
74,騎手_Ｍ．デム,0
27,騎手_城戸義政,0
